	ECAH1	ECAH2	ECAH3	P2_a	P2_b	P2_c	ECG1	ECG2	ECG3	ORAPG1	ORAPG2	ORAPG3	P3_a	P3_b	P3_c
Pocillopora_acuta_HIv2___RNAseq.18499_t	18	14	8	16	16	7	5	14	12	15	13	10	75	39	52
Pocillopora_acuta_HIv2___RNAseq.18550_t	14	14	21	0	11	6	6	10	7	8	12	10	19	12	18
Pocillopora_acuta_HIv2___RNAseq.18718_t	1	0	0	6	6	5	0	0	1	0	0	1	7	5	3
Pocillopora_acuta_HIv2___RNAseq.18721_t	765	483	571	195	324	212	668	903	487	167	209	208	462	296	547
Pocillopora_acuta_HIv2___RNAseq.18735_t	4	5	3	3	2	3	8	6	10	6	7	7	5	1	5
Pocillopora_acuta_HIv2___RNAseq.18741_t	8	11	10	3	10	5	10	9	14	19	15	17	18	11	6
Pocillopora_acuta_HIv2___RNAseq.18788_t	29	5	10	2	7	9	15	8	16	4	21	8	16	13	15
Pocillopora_acuta_HIv2___RNAseq.18850_t	3	1	1	1	1	2	0	0	0	0	0	1	3	0	5
Pocillopora_acuta_HIv2___RNAseq.18888_t	3	7	3	2	5	4	7	5	2	1	1	2	7	1	5
Pocillopora_acuta_HIv2___RNAseq.18963_t	9	10	6	10	6	9	12	9	7	8	6	7	17	16	19
Pocillopora_acuta_HIv2___RNAseq.19049_t	114	80	83	466	680	575	60	87	68	53	47	50	644	419	556
Pocillopora_acuta_HIv2___RNAseq.19108_t	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.1911_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.1912_t	14	9	11	13	10	19	10	9	19	8	9	15	38	22	28
Pocillopora_acuta_HIv2___RNAseq.19150_t	1	1	2	3	4	2	0	0	1	2	0	1	43	18	26
Pocillopora_acuta_HIv2___RNAseq.19153_t	1	1	0	1	0	1	0	1	0	0	2	2	0	0	0
Pocillopora_acuta_HIv2___RNAseq.19192_t	5	3	1	5	6	9	4	2	2	2	4	2	8	20	8
Pocillopora_acuta_HIv2___RNAseq.19207_t	0	0	0	0	1	1	1	0	0	0	0	0	7	1	6
Pocillopora_acuta_HIv2___RNAseq.19240_t	1	0	0	1	2	0	0	0	0	1	0	0	0	0	1
Pocillopora_acuta_HIv2___RNAseq.19256_t	0	0	0	0	0	0	1	1	1	0	1	3	34	23	12
Pocillopora_acuta_HIv2___RNAseq.19307_t	15	16	17	5	6	10	13	16	23	26	16	14	11	9	14
Pocillopora_acuta_HIv2___RNAseq.19507_t	1	3	2	1	6	5	3	2	4	3	4	7	16	13	16
Pocillopora_acuta_HIv2___RNAseq.19571_t	22	14	13	10	8	11	10	11	13	13	6	17	30	13	18
Pocillopora_acuta_HIv2___RNAseq.19623_t	1	1	1	0	0	0	0	1	1	4	1	2	3	3	3
Pocillopora_acuta_HIv2___RNAseq.1966_t	0	2	0	2	0	0	0	0	0	0	0	1	1	0	0
Pocillopora_acuta_HIv2___RNAseq.19711_t	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.1975_t	5	3	3	13	4	11	10	7	6	2	8	7	23	11	25
Pocillopora_acuta_HIv2___RNAseq.19859_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.19864_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
